ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_DAY_AGG,CTY_SCR_WEEK_AGG,CTY_SCR_MONTH_AGG,CTY_SCR_QUARTER_AGG
2016-12-02 00:00:00,N,1.1340932,1.2012726,1.2499555,1.2347329
2018-02-26 00:00:00,N,.9838930,1.1972875,1.1960125,1.1651872
2016-02-09 00:00:00,N,1.4011311,1.3070505,1.4961013,1.3426457
2019-01-03 00:00:00,N,1.0208220,1.1091131,1.2402429,1.2957378
2017-10-09 00:00:00,N,1.0312507,1.0638487,1.1595405,1.1835428
2018-04-24 00:00:00,N,1.0929616,1.4710676,1.1931731,1.2394322
2019-03-01 00:00:00,N,1.1564232,1.1895057,1.2665852,1.2872997
2016-04-06 00:00:00,N,1.2468318,1.2424854,1.5096212,1.3869271
2017-12-05 00:00:00,N,1.0859483,1.2994656,1.2206061,1.1722787
2018-06-20 00:00:00,N,1.1933235,1.6838874,1.2661426,1.1889858
2016-10-20 00:00:00,N,1.1340392,1.1545774,1.2253932,1.2788547
2016-06-02 00:00:00,N,1.1686116,1.3348610,1.4641707,1.4528804
2018-01-31 00:00:00,N,1.0716089,1.2198330,1.2812207,1.1735361
2016-12-16 00:00:00,N,1.0867557,1.1755790,1.4040814,1.2120369
2018-08-16 00:00:00,N,1.1075102,1.1954797,1.2529437,1.2291696
2016-07-29 00:00:00,N,1.2147463,1.2239705,2.0130351,1.3021429
2017-10-23 00:00:00,N,.9621400,1.2245865,1.2671559,1.1994517
2018-10-12 00:00:00,N,1.0754749,.9926274,1.0502613,1.1745153
2017-12-19 00:00:00,N,1.0401099,1.1329743,1.1520825,1.1803162
2018-02-14 00:00:00,N,1.1816618,1.3561188,1.3097345,1.1727219
2017-06-05 00:00:00,N,1.0957379,1.0805900,1.1394522,1.2104924
2016-03-11 00:00:00,N,1.1895718,1.2379420,1.3527817,1.3783881
2018-04-12 00:00:00,N,1.0987176,1.2838607,1.1891383,1.2169676
2017-01-16 00:00:00,N,1.0593086,1.4016125,1.4291943,1.2432378
2018-10-26 00:00:00,N,.9918736,1.0871737,1.0719937,1.1660357
2017-08-01 00:00:00,N,1.1882465,1.1831494,1.1744556,1.1609859
2018-06-08 00:00:00,N,1.0420222,1.6876300,1.2129682,1.1952380
2017-03-14 00:00:00,N,1.1357835,1.2860283,1.3297163,1.3688907
2017-09-27 00:00:00,N,1.1049306,1.1234770,1.1395065,1.1509206
2017-05-10 00:00:00,N,1.0768811,1.1140243,1.1049650,1.2444550
2016-08-29 00:00:00,N,1.1526763,1.1534731,1.3598509,1.2984587
2017-11-23 00:00:00,N,1.1775559,1.3162794,1.2441442,1.1863629
2017-07-06 00:00:00,N,1.1020957,1.2058680,1.1717641,1.1506512
2016-10-25 00:00:00,N,1.1489230,1.2982221,1.2612973,1.2755920
2018-01-19 00:00:00,N,1.1220206,1.1342485,1.1491991,1.1418752
2017-09-01 00:00:00,N,1.1145661,1.1676590,1.2178481,1.1700458
2018-11-26 00:00:00,N,.7825347,1.1932875,1.4032129,1.1603173
2016-12-21 00:00:00,N,1.0899977,1.2216564,1.4238984,1.2204828
2019-01-22 00:00:00,N,1.3488003,1.4467301,1.2328126,1.2526427
2016-09-12 00:00:00,N,1.2297078,1.1589429,1.2765556,1.3229639
2016-04-25 00:00:00,N,1.0611190,1.1792553,1.8256169,1.4359806
2019-03-20 00:00:00,N,1.1603796,1.1311521,1.6640317,1.3017744
2018-07-09 00:00:00,N,.9955107,1.1285961,1.2702116,1.2289808
2016-11-08 00:00:00,N,1.2005830,1.1770682,1.2034893,1.2224626
2016-06-21 00:00:00,N,1.1944317,1.1092294,1.1832953,1.2699484
2018-09-04 00:00:00,N,1.0791954,1.0793244,1.3599020,1.2590876
2017-01-04 00:00:00,N,1.1193183,1.3608752,1.2964832,1.2071814
2016-08-17 00:00:00,N,1.3381722,1.3527144,2.0822834,1.3253084
2018-10-31 00:00:00,N,1.0760815,1.1429092,1.1045349,1.1788054
2017-03-02 00:00:00,N,1.1062146,1.0610052,1.3991583,1.3475872
2016-10-13 00:00:00,N,1.2034502,1.1040887,1.1811268,1.2664398
2018-12-27 00:00:00,N,1.1288653,1.4713659,1.2716122,1.2612167
2016-02-02 00:00:00,N,1.2235318,1.4073745,1.4761989,1.3388069
2017-04-28 00:00:00,N,1.0699979,1.1190741,1.2357507,1.3335652
2018-03-05 00:00:00,N,1.0202260,1.0731346,1.2089056,1.1687224
2016-12-09 00:00:00,N,.9875722,1.2191172,1.4143842,1.2281248
2016-03-30 00:00:00,N,1.2557059,1.3568378,1.5026658,1.3532285
2019-02-22 00:00:00,N,1.1163630,1.7071408,1.3521076,1.2569988
2018-05-01 00:00:00,N,1.0701733,1.1744091,1.2461817,1.2193526
2016-05-26 00:00:00,N,1.2722789,1.3392145,1.4324245,1.5380313
2018-11-14 00:00:00,N,.9813620,3.9021710,1.9587343,1.1717978
2018-06-27 00:00:00,N,1.0791649,1.1161988,1.2076449,1.2011937
2016-07-22 00:00:00,N,1.0807925,1.1338271,1.5308296,1.2672246
